Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,Cost ($),Savings programs ($),Other savings ($),Unrounded subtotal ($),Subtotal ($),Percent change in subtotal compared to previous period
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Americas to Americas,92CB-C25F-B1D1,1.555,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Dammam to China,93AD-A6A8-13BA,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Apac(Excluding Korea and Indonesia) to Americas,93F4-2190-D5EF,0.007,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer Out via Carrier Peering Network - APAC Based,9428-46F3-3796,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Mumbai to Apac(Excluding Korea and Indonesia),95E2-380C-BFFC,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Dammam to Dammam,968F-4882-20A6,4.816,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Israel to Dammam,9887-F16E-EE41,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Intra Zone Data Transfer In,9C76-A3FB-C60A,0.002,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Melbourne to Americas,9D15-6012-1DD8,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to China,9DE9-9092-B3BC,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Montreal to Dammam,A0EA-B223-BB6F,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Turin to Turin,A1B8-06B9-F6CB,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Warsaw to Dammam,A317-83C4-650B,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from EMEA to Dammam,A3B5-DB84-9C0F,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Frankfurt to Americas,A612-B589-059A,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Berlin to Dammam,A7CB-9AAF-7364,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Santiago to Americas,A881-8588-45B1,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Virginia to Virginia,A977-A7F6-A48D,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Columbus to Americas,A9E6-10FA-84BE,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Montreal to Montreal,AB71-7C74-A62B,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Apac(Excluding Korea and Indonesia) to Dammam,AE3C-4171-6A38,0.048,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Santiago to Santiago,AEB3-8204-3354,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Santiago to Santiago,AF2D-D429-B8BC,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Dallas to Dallas,AF40-E933-495C,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from London to Dammam,AF88-0006-DAA9,0.003,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Seoul to Seoul,B015-993D-58EB,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from APAC to APAC,B232-93AF-6910,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Toronto to Toronto,B30F-B016-AF15,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Netherlands to Apac(Excluding Korea and Indonesia),B464-744E-3CB3,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Sao Paulo,B62C-9514-EC43,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Zurich to Dammam,B7A4-DA58-74F6,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Zurich,B9A0-D107-024E,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from APAC to Americas,BBF8-C07D-1DF4,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Americas to Toronto,BC3F-EA6C-3E7E,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Osaka to Americas,BC87-B834-5EAA,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Frankfurt to Americas,BE6F-687A-D530,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Mumbai to Dammam,BF91-D956-845A,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Jakarta to Jakarta,C10E-24D5-D5C3,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Netherlands to Americas,C1BB-5F08-C60D,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Milan to EMEA,C202-C336-F80E,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Licensing Fee for Google Container Engine Node (CPU cost),C268-6D50-D598,832.27,hour,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Milan to Milan,C27E-2861-7F51,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Middle East to Americas,C4A4-76CD-56D0,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Sydney to Sydney,C598-6E1B-99BD,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Singapore to Singapore,C60B-9B3C-B624,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Dammam to Zurich,C7E4-5F03-67FC,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Virginia,C863-37DA-506E,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Americas,C8EA-1A86-3D28,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Singapore to Dammam,C931-FAC9-20BB,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Phoenix to Phoenix,C9B5-4EE3-0C5D,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Santiago to Dammam,CA05-4934-03E3,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Mumbai to Middle East,CC55-F2D0-1A51,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In via Carrier Peering Network - EMEA Based,CCB8-0A9C-50FA,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Sydney to Americas,CD2E-8A37-FA48,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Milan to Americas,CD33-945A-B41F,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Americas to Phoenix,CF4D-B19B-7D56,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to EMEA,D011-1819-740D,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Montreal to Americas,D02C-D153-3B6A,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Zone Data Transfer In,D0CC-50DF-59D2,0.309,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Dammam to Singapore,D2DA-EF2E-6FD6,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Americas to Montreal,D622-6D93-E282,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from EMEA to Netherlands,D6AD-8CF6-8806,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Finland to Americas,D72A-E5E4-973E,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Berlin to Berlin,D85E-B030-0E4A,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Las Vegas to Dammam,D900-5DE0-2B05,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Frankfurt to Dammam,DA46-2206-C351,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Los Angeles to Dammam,DCDB-193C-3E1F,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to EMEA,DFA5-B5C6-36D6,0.083,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Apac(Excluding Korea and Indonesia) to Bangkok,E019-54ED-531B,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Zurich to EMEA,E0D2-115E-6B2A,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from EMEA to Warsaw,E0E9-2553-89AE,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Phoenix to Americas,E338-6A25-E377,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Apac(Excluding Korea and Indonesia) to Tokyo,E380-5AA7-58AC,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Osaka to Dammam,E3E2-8F84-239A,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Turin to EMEA,E47C-981C-BB66,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Madrid to EMEA,E4C0-5913-6857,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Sydney to Dammam,E592-857F-9618,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Delhi to Americas,E618-1B91-F89A,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Dallas to Americas,E6EE-8CA6-6FA0,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Netherlands to Dammam,E75B-BC42-B3BF,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Sao Paulo to Sao Paulo,E8CC-F6FA-D8BA,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Americas to Americas,E926-D07C-E1A4,0.115,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Berlin to EMEA,E936-15C8-4798,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Singapore to Singapore,EA96-9836-7E58,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Sao Paulo to Sao Paulo,EACD-B914-D38D,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Los Angeles to Americas,EB55-92E0-41A2,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Los Angeles to Americas,EB67-3CB7-1BF5,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Americas to Los Angeles,EB7F-0483-FCC4,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from EMEA to Madrid,EBEA-762A-BC12,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Licensing Fee for Container-Optimized OS from Google (CPU cost),ECCC-9EE4-AEE4,832.868,hour,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Dammam to Doha,EE83-8F39-5357,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Middle East to Doha,EF03-32AC-A859,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Africa to Americas,EF89-EF79-A587,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Paris to Paris,F108-A336-7842,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Americas to Netherlands,F1BA-49E4-9D70,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Singapore to Americas,F208-E30F-07D3,0.001,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Licensing Fee for Container-Optimized OS from Google (RAM cost),F239-15CB-5B98,"6,662.95",gibibyte hour,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Apac(Excluding Korea and Indonesia) to Delhi,F3B9-BEC4-E49B,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from EMEA to EMEA,F456-C31A-8A75,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Netherlands to Netherlands,F5F0-CCB4-6C97,0.001,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer Out via Carrier Peering Network - EMEA Based,F603-6008-38E5,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from EMEA to Dammam,F8B3-644A-AE0F,0.228,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Americas to Columbus,F8E3-B514-2C20,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from EMEA to Zurich,F901-974D-8C85,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Licensing Fee for Container-Optimized OS from Google (CPU cost),FA27-F4A0-3EE3,"1,665.74",hour,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Singapore,FAD1-829C-5E63,0.001,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Toronto to Toronto,FC13-8D69-5283,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from China to Dammam,FC94-7186-23B6,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Data Transfer to Google Services from Hong Kong to Hong Kong,FCC3-9CC4-4E14,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Apac(Excluding Korea and Indonesia) to Sydney,FCC6-4749-13DC,0,gibibyte,0,0,0,0,0,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Dammam to Johannesburg,FF1B-F601-52B4,0,gibibyte,0,0,0,0,0,0%
Vertex AI Search,74B1-77CF-C302,Vertex AI Search and Conversation: Data Index,BC7D-6A97-90F8,0.416,gibibyte month,0,0,0,0,0,0%
Firebase App Hosting,825D-BF56-C188,Firebase App Hosting -- Uncached Response Bytes (from TLV),031C-62A1-56B8,0,gibibyte,0,0,0,0,0,0%
Firebase App Hosting,825D-BF56-C188,Firebase App Hosting -- Uncached Response Bytes (from PHX),0D0B-D0AA-BF81,0,gibibyte,0,0,0,0,0,0%
Firebase App Hosting,825D-BF56-C188,Firebase App Hosting -- Uncached Response Bytes (from LGA),149D-AF65-5A5A,0,gibibyte,0,0,0,0,0,0%
Firebase App Hosting,825D-BF56-C188,Firebase App Hosting -- Uncached Response Bytes (from DHR),2B7E-9B0B-1046,0,gibibyte,0,0,0,0,0,0%
Firebase App Hosting,825D-BF56-C188,Firebase App Hosting -- Uncached Response Bytes (from LAX),2D94-3724-E733,0,gibibyte,0,0,0,0,0,0%
Firebase App Hosting,825D-BF56-C188,Firebase App Hosting -- Uncached Response Bytes (from BRU),2DA4-83D6-7E6D,0,gibibyte,0,0,0,0,0,0%
Firebase App Hosting,825D-BF56-C188,Firebase App Hosting -- Uncached Response Bytes (from QRO),3C56-CF2C-DFA3,0,gibibyte,0,0,0,0,0,0%
Firebase App Hosting,825D-BF56-C188,Firebase App Hosting -- Uncached Response Bytes (from TPE),4072-8CE2-F75C,0,gibibyte,0,0,0,0,0,0%
Firebase App Hosting,825D-BF56-C188,Firebase App Hosting -- Uncached Response Bytes (from FRA),413F-FEED-A1E4,0,gibibyte,0,0,0,0,0,0%
Firebase App Hosting,825D-BF56-C188,Firebase App Hosting -- Uncached Response Bytes (from BOM),419A-B736-8D76,0,gibibyte,0,0,0,0,0,0%
Firebase App Hosting,825D-BF56-C188,Firebase App Hosting -- Uncached Response Bytes (from ORD),4940-24FD-6F71,0,gibibyte,0,0,0,0,0,0%
Firebase App Hosting,825D-BF56-C188,Firebase App Hosting -- Uncached Response Bytes (from YYZ),5F69-73B4-6053,0,gibibyte,0,0,0,0,0,0%
Firebase App Hosting,825D-BF56-C188,Firebase App Hosting -- Uncached Response Bytes (from ATL),826D-4074-4DB3,0,gibibyte,0,0,0,0,0,0%
Firebase App Hosting,825D-BF56-C188,Firebase App Hosting -- Uncached Response Bytes (from SIN),A87F-B389-441F,0,gibibyte,0,0,0,0,0,0%
Firebase App Hosting,825D-BF56-C188,Firebase App Hosting -- Uncached Response Bytes (from CBF),C509-11B9-542B,0,gibibyte,0,0,0,0,0,0%
Firebase App Hosting,825D-BF56-C188,Firebase App Hosting -- Uncached Response Bytes (from SFO),D034-76C4-1B7F,0,gibibyte,0,0,0,0,0,0%
Firebase App Hosting,825D-BF56-C188,Firebase App Hosting -- Uncached Response Bytes (from DLS),D33B-30E3-352D,0,gibibyte,0,0,0,0,0,0%
Firebase App Hosting,825D-BF56-C188,Firebase App Hosting -- Uncached Response Bytes (from IAD),F1A8-673A-18A7,0,gibibyte,0,0,0,0,0,0%
Firebase App Hosting,825D-BF56-C188,Firebase App Hosting -- Uncached Response Bytes (from GRU),F474-1C86-A5EF,0,gibibyte,0,0,0,0,0,0%
Cloud Build,8B5D-EF7D-EB12,Build time e2-standard-2,A464-9020-6404,23.7,minute,0,0,0,0,0,0%
Cloud Storage,95FF-2EF5-5EA1,Download APAC,1F8B-71B0-3D1B,0.64,gibibyte,0,0,0,0,0,0%
Cloud Storage,95FF-2EF5-5EA1,Download Worldwide Destinations (excluding Asia & Australia),22EB-AAE8-FBCD,0.001,gibibyte,0,0,0,0,0,0%
Cloud Storage,95FF-2EF5-5EA1,Network Data Transfer GCP Inter Region within Northern America,8878-37D4-D2AC,0,gibibyte,0,0,0,0,0,0%
Cloud Storage,95FF-2EF5-5EA1,Standard Storage Belgium,A703-5CB6-E0BF,0,gibibyte month,0,0,0,0,0,0%
Cloud SQL,9662-B51E-5089,Network Data Transfer to Google Services from Dammam to Dammam,6BDA-4C8A-D04C,1.08,gibibyte,0,0,0,0,0,0%
Cloud SQL,9662-B51E-5089,Network Inter Region Data Transfer Out from Dammam to Americas,7DEB-0270-F03B,0,gibibyte,0,0,0,0,0,0%
Cloud SQL,9662-B51E-5089,Network Data Transfer to Google Services from Americas to Americas,85F4-8AFC-FF68,2.157,gibibyte,0,0,0,0,0,0%
Cloud SQL,9662-B51E-5089,Network Inter Zone Data Transfer Out in Dammam,B509-FBD8-B3B8,0.543,gibibyte,0,0,0,0,0,0%
Cloud SQL,9662-B51E-5089,Network Inter Region Data Transfer Out from Dammam to Finland,FBD7-699A-CA99,0,gibibyte,0,0,0,0,0,0%
Cloud Trace,9B82-7513-9D1C,Spans ingested,FFCF-0164-9BC0,"3,112",count,0,0,0,0,0,0%
Cloud Pub/Sub,A1E8-BE35-7EBC,Message Delivery Basic,027D-B6C7-CCA2,0,tebibyte,0,0,0,0,0,0%
Vertex AI,C7E2-9256-1C43,Vertex AI: ReasoningEngine management fee on Memory,0B45-6103-6EC1,"110,372",gibibyte second,0,0,0,0,0,0%
Vertex AI,C7E2-9256-1C43,Vertex AI: ReasoningEngine management fee on CPU,8A55-0B95-B7DC,"165,595.94",second,0,0,0,0,0,-100%
Vertex AI,C7E2-9256-1C43,LLM Grounding with Google Search tool - Predictions,F307-73C9-C204,14,count,0,0,0,0,0,0%
Cloud Spanner,CC63-0873-48FD,Backup storage for Regional Configuration (Netherlands),641C-CA8A-CF2C,0.001,gibibyte month,0,0,0,0,0,0%
Cloud Spanner,CC63-0873-48FD,SSD Storage for Replica in Netherlands (europe-west4),ABD3-F55C-E057,0.002,gibibyte month,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Day0 (Alabama) (us-east7),0287-FB56-BE0C,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Warsaw (europe-central2),02C8-21E2-39BB,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Madrid (europe-southwest1),110D-39D2-6477,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Network Private Service Connect Google Managed Service GKE Consumer Data Processing Primary,11AD-2790-7C4B,26.48,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Taiwan (asia-east1),1323-93F5-4A9B,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Seoul (asia-northeast3),147E-ED36-67D1,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Dallas (us-south1),1717-C91F-D029,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Singapore (asia-southeast1),17FF-00DE-2217,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Zurich (europe-west6),1D71-8CF2-1494,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Columbus (us-east5),26B1-07D2-A64C,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Oregon (us-west1),2998-2185-EA3D,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Madrid (europe-southwest1),32B2-9911-11DC,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Netherlands (europe-west4),32B4-56D3-0953,0.001,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Taiwan (asia-east1),350D-BEA3-0664,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Belgium (europe-west1),352B-4670-13F6,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Seoul (asia-northeast3),3C98-FAA0-7935,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Finland (europe-north1),3DAD-2366-1337,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Finland (europe-north1),42C9-04D5-B1E5,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Tokyo (asia-northeast1),4445-66EE-8E07,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Sydney (australia-southeast1),4CA7-81FE-92B2,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for São Paulo (southamerica-east1),4DF1-43E6-7CFE,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Regional External Passthrough Network Load Balancer Inbound Data Processing for Dammam (me-central2),4E08-58F6-4564,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Santiago (southamerica-west1),4EB4-EDED-BC64,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Hong Kong (asia-east2),4ED2-C329-7BB8,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Networking Service Directory Integrated Resource,50F4-D7E5-3682,2.5,month,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Warsaw (europe-central2),5242-5967-C891,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Zurich (europe-west6),5275-C7DF-707B,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Berlin (europe-west10),5419-A04B-4A99,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Paris (europe-west9),5494-2FF9-C816,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Frankfurt (europe-west3),60B5-0FFC-DFA0,0.001,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Johannesburg (africa-south1),63FE-DC58-DF68,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Turin (europe-west12),65D4-2C5C-7D6E,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Dallas (us-south1),667D-D096-6F9F,0,gibibyte,0,0,0,0,0,0%
Networking,E505-1604-58F8,Networking Private Service Connect Partner Select End Point,6882-BFB0-B7E5,277.598,hour,2.78,0,-2.78,0,0,0%
